fixture_id,odds_h,odds_d,odds_a,sport_key,date,home,away,home_norm,away_norm
1388367,2.4,9.5,7.0,soccer_germany_bundesliga,2025-10-18 13:30:00+00:00,RB Leipzig,Hamburger SV,rb leipzig,hamburger sv
1388365,4.15,8.0,3.7,soccer_germany_bundesliga,2025-10-18 13:30:00+00:00,1. FC Heidenheim,Werder Bremen,1 heidenheim,werder bremen
1388363,3.3,8.5,4.85,soccer_germany_bundesliga,2025-10-18 13:30:00+00:00,1.FC Köln,FC Augsburg,1 köln,augsburg
1388362,2.18,10.0,8.11,soccer_germany_bundesliga,2025-10-18 16:30:00+00:00,Bayern München,Borussia Dortmund,bayern münchen,borussia dortmund
1388364,3.75,7.0,4.0,soccer_germany_bundesliga,2025-10-19 13:30:00+00:00,SC Freiburg,Eintracht Frankfurt,freiburg,eintracht frankfurt
1388368,3.85,8.0,4.25,soccer_germany_bundesliga,2025-10-19 15:30:00+00:00,FC St. Pauli,1899 Hoffenheim,st pauli,1899 hoffenheim
1388379,2.18,3.9,3.37,soccer_germany_bundesliga,2025-10-24 18:30:00+00:00,Werder Bremen,Union Berlin,werder bremen,union berlin
1388373,15.0,8.75,1.22,soccer_germany_bundesliga,2025-10-25 13:30:00+00:00,Borussia Mönchengladbach,Bayern München,borussia mönchengladbach,bayern münchen
1388377,1.82,4.0,4.75,soccer_germany_bundesliga,2025-10-25 13:30:00+00:00,1899 Hoffenheim,1. FC Heidenheim,1899 hoffenheim,1 heidenheim
1388375,1.8,4.16,4.75,soccer_germany_bundesliga,2025-10-25 13:30:00+00:00,Eintracht Frankfurt,FC St. Pauli,eintracht frankfurt,st pauli
1388371,3.58,3.74,2.13,soccer_germany_bundesliga,2025-10-25 13:30:00+00:00,FC Augsburg,RB Leipzig,augsburg,rb leipzig
1388376,2.95,3.64,2.49,soccer_germany_bundesliga,2025-10-25 13:30:00+00:00,Hamburger SV,VfL Wolfsburg,hamburger sv,vfl wolfsburg
1388374,1.55,4.84,6.5,soccer_germany_bundesliga,2025-10-25 16:30:00+00:00,Borussia Dortmund,1.FC Köln,borussia dortmund,1 köln
1388372,1.71,4.3,5.25,soccer_germany_bundesliga,2025-10-26 14:30:00+00:00,Bayer Leverkusen,SC Freiburg,bayer leverkusen,freiburg
