fixture_id,league_id,league_name,season,date,status_short,status_long,home_id,home,away_id,away,goals_home,goals_away,result,sport_key,home_norm,away_norm
1388472,78,Bundesliga,2025,2026-01-24 14:30:00+00:00,NS,Not Started,163,Borussia Mönchengladbach,172,VfB Stuttgart,,,,soccer_germany_bundesliga,borussia mönchengladbach,vfb stuttgart
1388476,78,Bundesliga,2025,2026-01-24 14:30:00+00:00,NS,Not Started,164,FSV Mainz 05,161,VfL Wolfsburg,,,,soccer_germany_bundesliga,fsv mainz 05,vfl wolfsburg
1388470,78,Bundesliga,2025,2026-01-24 14:30:00+00:00,NS,Not Started,168,Bayer Leverkusen,162,Werder Bremen,,,,soccer_germany_bundesliga,bayer leverkusen,werder bremen
1388473,78,Bundesliga,2025,2026-01-24 14:30:00+00:00,NS,Not Started,169,Eintracht Frankfurt,167,1899 Hoffenheim,,,,soccer_germany_bundesliga,eintracht frankfurt,1899 hoffenheim
1388475,78,Bundesliga,2025,2026-01-24 14:30:00+00:00,NS,Not Started,180,1. FC Heidenheim,173,RB Leipzig,,,,soccer_germany_bundesliga,1 heidenheim,rb leipzig
1388478,78,Bundesliga,2025,2026-01-24 14:30:00+00:00,NS,Not Started,182,Union Berlin,165,Borussia Dortmund,,,,soccer_germany_bundesliga,union berlin,borussia dortmund
1388477,78,Bundesliga,2025,2026-01-24 14:30:00+00:00,NS,Not Started,186,FC St. Pauli,175,Hamburger SV,,,,soccer_germany_bundesliga,st pauli,hamburger sv
1388487,78,Bundesliga,2025,2026-01-31 14:30:00+00:00,NS,Not Started,162,Werder Bremen,163,Borussia Mönchengladbach,,,,soccer_germany_bundesliga,werder bremen,borussia mönchengladbach
1388480,78,Bundesliga,2025,2026-01-31 14:30:00+00:00,NS,Not Started,165,Borussia Dortmund,180,1. FC Heidenheim,,,,soccer_germany_bundesliga,borussia dortmund,1 heidenheim
1388484,78,Bundesliga,2025,2026-01-31 14:30:00+00:00,NS,Not Started,167,1899 Hoffenheim,182,Union Berlin,,,,soccer_germany_bundesliga,1899 hoffenheim,union berlin
1388481,78,Bundesliga,2025,2026-01-31 14:30:00+00:00,NS,Not Started,169,Eintracht Frankfurt,168,Bayer Leverkusen,,,,soccer_germany_bundesliga,eintracht frankfurt,bayer leverkusen
1388479,78,Bundesliga,2025,2026-01-31 14:30:00+00:00,NS,Not Started,170,FC Augsburg,186,FC St. Pauli,,,,soccer_germany_bundesliga,augsburg,st pauli
1388486,78,Bundesliga,2025,2026-01-31 14:30:00+00:00,NS,Not Started,172,VfB Stuttgart,160,SC Freiburg,,,,soccer_germany_bundesliga,vfb stuttgart,freiburg
1388485,78,Bundesliga,2025,2026-01-31 14:30:00+00:00,NS,Not Started,173,RB Leipzig,164,FSV Mainz 05,,,,soccer_germany_bundesliga,rb leipzig,fsv mainz 05
1388483,78,Bundesliga,2025,2026-01-31 14:30:00+00:00,NS,Not Started,175,Hamburger SV,157,Bayern München,,,,soccer_germany_bundesliga,hamburger sv,bayern münchen
1388482,78,Bundesliga,2025,2026-01-31 14:30:00+00:00,NS,Not Started,192,1.FC Köln,161,VfL Wolfsburg,,,,soccer_germany_bundesliga,1 köln,vfl wolfsburg
1388488,78,Bundesliga,2025,2026-02-07 14:30:00+00:00,NS,Not Started,157,Bayern München,167,1899 Hoffenheim,,,,soccer_germany_bundesliga,bayern münchen,1899 hoffenheim
1388491,78,Bundesliga,2025,2026-02-07 14:30:00+00:00,NS,Not Started,160,SC Freiburg,162,Werder Bremen,,,,soccer_germany_bundesliga,freiburg,werder bremen
1388496,78,Bundesliga,2025,2026-02-07 14:30:00+00:00,NS,Not Started,161,VfL Wolfsburg,165,Borussia Dortmund,,,,soccer_germany_bundesliga,vfl wolfsburg,borussia dortmund
1388489,78,Bundesliga,2025,2026-02-07 14:30:00+00:00,NS,Not Started,163,Borussia Mönchengladbach,168,Bayer Leverkusen,,,,soccer_germany_bundesliga,borussia mönchengladbach,bayer leverkusen
1388493,78,Bundesliga,2025,2026-02-07 14:30:00+00:00,NS,Not Started,164,FSV Mainz 05,170,FC Augsburg,,,,soccer_germany_bundesliga,fsv mainz 05,augsburg
1388492,78,Bundesliga,2025,2026-02-07 14:30:00+00:00,NS,Not Started,180,1. FC Heidenheim,175,Hamburger SV,,,,soccer_germany_bundesliga,1 heidenheim,hamburger sv
1388495,78,Bundesliga,2025,2026-02-07 14:30:00+00:00,NS,Not Started,182,Union Berlin,169,Eintracht Frankfurt,,,,soccer_germany_bundesliga,union berlin,eintracht frankfurt
1388494,78,Bundesliga,2025,2026-02-07 14:30:00+00:00,NS,Not Started,186,FC St. Pauli,172,VfB Stuttgart,,,,soccer_germany_bundesliga,st pauli,vfb stuttgart
1388490,78,Bundesliga,2025,2026-02-07 14:30:00+00:00,NS,Not Started,192,1.FC Köln,173,RB Leipzig,,,,soccer_germany_bundesliga,1 köln,rb leipzig
