sport_key,league_name,season,fixture_id,date,home,away,home_id,away_id,status,goals_home,goals_away,result
soccer_germany_bundesliga,Bundesliga,2024,1224161,2025-02-08 14:30:00+00:00,FSV Mainz 05,FC Augsburg,164,170,FT,0,0,D
soccer_germany_bundesliga,Bundesliga,2024,1224157,2025-02-08 14:30:00+00:00,Borussia Dortmund,VfB Stuttgart,165,172,FT,1,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224158,2025-02-08 14:30:00+00:00,1899 Hoffenheim,Union Berlin,167,182,FT,0,4,A
soccer_germany_bundesliga,Bundesliga,2024,1224162,2025-02-08 17:30:00+00:00,Borussia Mönchengladbach,Eintracht Frankfurt,163,169,FT,1,1,D
soccer_germany_bundesliga,Bundesliga,2024,1224163,2025-02-09 14:30:00+00:00,Holstein Kiel,VfL Bochum,191,176,FT,2,2,D
soccer_germany_bundesliga,Bundesliga,2024,1224156,2025-02-09 16:30:00+00:00,RB Leipzig,FC St. Pauli,173,186,FT,2,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224169,2025-02-14 19:30:00+00:00,FC Augsburg,RB Leipzig,170,173,FT,0,0,D
soccer_germany_bundesliga,Bundesliga,2024,1224165,2025-02-15 14:30:00+00:00,VfB Stuttgart,VfL Wolfsburg,172,161,FT,1,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224171,2025-02-15 14:30:00+00:00,VfL Bochum,Borussia Dortmund,176,165,FT,2,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224170,2025-02-15 14:30:00+00:00,Union Berlin,Borussia Mönchengladbach,182,163,FT,1,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224172,2025-02-15 14:30:00+00:00,FC St. Pauli,SC Freiburg,186,160,FT,0,1,A
soccer_germany_bundesliga,Bundesliga,2024,1224164,2025-02-15 17:30:00+00:00,Bayer Leverkusen,Bayern München,168,157,FT,0,0,D
soccer_germany_bundesliga,Bundesliga,2024,1224168,2025-02-16 14:30:00+00:00,Werder Bremen,1899 Hoffenheim,162,167,FT,1,3,A
soccer_germany_bundesliga,Bundesliga,2024,1224166,2025-02-16 16:30:00+00:00,Eintracht Frankfurt,Holstein Kiel,169,191,FT,3,1,H
soccer_germany_bundesliga,Bundesliga,2024,1224167,2025-02-16 18:30:00+00:00,1. FC Heidenheim,FSV Mainz 05,180,164,FT,0,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224177,2025-02-21 19:30:00+00:00,SC Freiburg,Werder Bremen,160,162,FT,5,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224178,2025-02-22 14:30:00+00:00,VfL Wolfsburg,VfL Bochum,161,176,FT,1,1,D
soccer_germany_bundesliga,Bundesliga,2024,1224180,2025-02-22 14:30:00+00:00,Borussia Mönchengladbach,FC Augsburg,163,170,FT,0,3,A
soccer_germany_bundesliga,Bundesliga,2024,1224179,2025-02-22 14:30:00+00:00,FSV Mainz 05,FC St. Pauli,164,186,FT,2,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224181,2025-02-22 14:30:00+00:00,Holstein Kiel,Bayer Leverkusen,191,168,FT,0,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224175,2025-02-22 17:30:00+00:00,Borussia Dortmund,Union Berlin,165,182,FT,6,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224174,2025-02-23 14:30:00+00:00,RB Leipzig,1. FC Heidenheim,173,180,FT,2,2,D
soccer_germany_bundesliga,Bundesliga,2024,1224173,2025-02-23 16:30:00+00:00,Bayern München,Eintracht Frankfurt,157,169,FT,4,0,H
