fixture_id,league_id,league_name,season,date,sport_key,home,away,home_norm,away_norm,status_short,status_long,odds_h,odds_d,odds_a,odds_source,p_hat_h,p_hat_d,p_hat_a,EV_H,kelly_H,EV_D,kelly_D,EV_A,kelly_A,kelly_best,best_side,best_EV
1379057,39,Premier League,2025,2025-10-25 14:00:00+00:00,soccer_epl,Newcastle,Fulham,newcastle,fulham,NS,Not Started,1.72,4.04,5.32,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.939027175771445,0.0,-0.3296839531783369,0.0,3.2487162284975204,0.18800441137138427,0.18800441137138427,A,3.2487162284975204
1388362,78,Bundesliga,2025,2025-10-18 16:30:00+00:00,soccer_germany_bundesliga,Bayern München,Borussia Dortmund,bayern münchen,borussia dortmund,NS,Not Started,2.18,10.0,8.11,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.9227204902219478,0.0,0.6591981356971861,0.018311059324921837,5.476896355848663,0.192577227702133,0.192577227702133,A,5.476896355848663
1388363,78,Bundesliga,2025,2025-10-18 13:30:00+00:00,soccer_germany_bundesliga,1.FC Köln,FC Augsburg,1 köln,augsburg,NS,Not Started,3.3,8.5,4.85,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8830172558405631,0.0,0.41031841534260804,0.013677280511420276,2.8733597195889047,0.1865817999733055,0.1865817999733055,A,2.8733597195889047
1388364,78,Bundesliga,2025,2025-10-19 13:30:00+00:00,soccer_germany_bundesliga,SC Freiburg,Eintracht Frankfurt,freiburg,eintracht frankfurt,NS,Not Started,3.75,7.0,4.0,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8670650634551854,0.0,0.1614386949880302,0.006726612291167926,2.1945234800733235,0.18287695667277695,0.18287695667277695,A,2.1945234800733235
1388365,78,Bundesliga,2025,2025-10-18 13:30:00+00:00,soccer_germany_bundesliga,1. FC Heidenheim,Werder Bremen,1 heidenheim,werder bremen,NS,Not Started,4.15,8.0,3.7,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8528853368904051,0.0,0.32735850855774884,0.011691375305633887,1.9549342190678245,0.18101242769146522,0.18101242769146522,A,1.9549342190678245
1388366,78,Bundesliga,2025,2025-10-18 13:30:00+00:00,soccer_germany_bundesliga,FSV Mainz 05,Bayer Leverkusen,fsv mainz 05,bayer leverkusen,NS,Not Started,4.2,8.0,3.8,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8511128710698077,0.0,0.32735850855774884,0.011691375305633887,2.0347973060696574,0.18167833089907656,0.18167833089907656,A,2.0347973060696574
1388367,78,Bundesliga,2025,2025-10-18 13:30:00+00:00,soccer_germany_bundesliga,RB Leipzig,Hamburger SV,rb leipzig,hamburger sv,NS,Not Started,2.4,9.5,7.0,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.9149216406113186,0.0,0.5762382289123267,0.016948183203303727,4.590416090128317,0.19126733708867985,0.19126733708867985,A,4.590416090128317
1388368,78,Bundesliga,2025,2025-10-19 15:30:00+00:00,soccer_germany_bundesliga,FC St. Pauli,1899 Hoffenheim,st pauli,1899 hoffenheim,NS,Not Started,3.85,8.0,4.25,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8635201318139903,0.0,0.32735850855774884,0.011691375305633887,2.394181197577906,0.1841677844290697,0.1841677844290697,A,2.394181197577906
1388369,78,Bundesliga,2025,2025-10-17 18:30:00+00:00,soccer_germany_bundesliga,Union Berlin,Borussia Mönchengladbach,union berlin,borussia mönchengladbach,NS,Not Started,3.65,9.1,4.65,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8706099950963805,0.0,0.5098703034844392,0.015736737761865408,2.713633545585239,0.1858653113414547,0.1858653113414547,A,2.713633545585239
1388370,78,Bundesliga,2025,2025-10-18 13:30:00+00:00,soccer_germany_bundesliga,VfL Wolfsburg,VfB Stuttgart,vfl wolfsburg,vfb stuttgart,NS,Not Started,3.9,8.0,3.8,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8617476659933928,0.0,0.32735850855774884,0.011691375305633887,2.0347973060696574,0.18167833089907656,0.18167833089907656,A,2.0347973060696574
